OID,STATENS,GEOID,NAME,Total Households,Total HH that have computer,Total HH with broadband,tot percent with access,Households have a computer without internet access,tot percent without access,Total population in households,Population 18-64,pop 18-64 have a computer,percent 18-64 have computer,pop18-64 with broadband access,percent 18-64 with access,pop 18-64 without internet,percent 18-64 without access,pop over 65 with access,pop over 65 without access,percent over65 without access,Total pop of black,Black pop have a computer,Black pop with access,Black pop without access,percen black without access,American Indian total pop,Native American have a computer,American Indian pop with access,American Indian pop without access,Perc AA without access,Total Asian pop,Asian pop have a computer,Asian pop with access,Asian pop without internet access,perc Asian without access,Tot Hawaian pop,Hawaian pop have computer,Native Hawaian pop with access,Native Hawaian without access,perc Haw without access,Total white pop,White pop have computer,White pop with broadband access,White pop without access,perc white without access,Total Hispanic pop,All hispanic pop that have computer,Hispanic pop with broadband access,Hispanic pop without broadband access,perc Hispanic without access,Shape__Are,Shape__Len
0,01779775,01,Alabama,1888504,1659065,1491634,89.90811089,160189,9.65537818,4776007,2879121,2710438,94.14116322,2479337,91.47366588,222233,8.199154528,555172,68998,12.42822044,1256298,1110911,969003,137511,12.37821932,24164,22088,20571,1371,6.206990221,66519,65000,62538,2345,3.607692308,1986,1863,1641,200,10.73537305,3128816,2917804,2709601,195742,6.708538339,208710,191133,166686,24033,12.57396682,1.90114E+11,2354852.67
1,01785533,02,Alaska,255173,242325,221809,91.5336841,19739,8.145672135,709895,441947,431403,97.61419356,401197,92.99819426,29711,6.887063836,69189,6929,10.0145977,21896,21451,19773,1678,7.822479139,103156,95344,80034,15155,15.89507468,45131,43758,40983,2709,6.190867956,10216,10092,9377,715,7.084819659,425154,415452,391970,22379,5.386663201,50556,49463,46285,3132,6.332005742,8.20849E+12,82199145.89
2,01779777,04,Arizona,2643430,2467069,2272487,92.112827,187138,7.585438429,7016130,4135442,3994955,96.60285406,3729754,93.36160232,259599,6.498170818,1008817,93728,9.290882291,309355,294944,269363,24835,8.420242487,301563,239201,181466,55444,23.17883286,235472,231607,223973,7264,3.136347347,13625,13224,11548,1657,12.53024803,3805572,3675698,3499798,166065,4.517917413,2213927,2107171,1902851,203020,9.634718777,4.34051E+11,2907135.646
3,00068085,05,Arkansas,1170544,1031971,892375,86.47287569,136396,13.21703808,2928116,1734891,1635122,94.24926407,1442661,88.2295633,189832,11.60965359,330436,54239,16.41437374,436449,378927,328665,50002,13.19568149,18414,16982,14694,2288,13.47308915,45280,44217,40398,3798,8.589456544,10319,7501,5762,1739,23.18357552,2100039,1948967,1729355,214040,10.98222802,225723,211917,173533,38174,18.01365629,2.05403E+11,2683803.15
4,01779778,06,California,13103114,12360505,11574531,93.64124686,760158,6.149894361,38521288,24081685,23544592,97.76970341,22358042,94.96041384,1164175,4.944553722,4485017,371159,8.27553162,2129228,2022039,1868171,151896,7.512021281,300670,285401,262564,22426,7.857715986,5740307,5624337,5439896,177341,3.153100534,145339,138926,130890,7564,5.444625196,14040733,13588535,13061703,498110,3.665663738,15132999,14524982,13409156,1100871,7.579155692,6.50014E+11,5467289.403
5,01779779,08,Colorado,2137402,2028365,1905129,93.92436766,117264,5.781208017,5565331,3517748,3451288,98.11072311,3292290,95.39308223,155174,4.496118551,648727,49537,7.636031798,223672,214287,201025,13006,6.06943025,50749,47497,42480,4979,10.48276733,178034,175130,169394,5661,3.23245589,8605,8106,7779,318,3.923019985,3764211,3665420,3518939,137037,3.738643866,1205918,1153066,1062879,89323,7.746564377,4.47311E+11,2708265.228
6,01779780,09,Connecticut,1385437,1274056,1198191,94.04539518,71921,5.64504229,3458474,2134426,2075975,97.26151199,1988117,95.76786811,84228,4.057274293,461418,34518,7.480852503,363608,341459,317420,23525,6.889553358,8765,8273,7474,799,9.657923365,158757,156653,152482,4060,2.591715448,1189,1126,987,134,11.90053286,2284554,2183057,2104465,72835,3.336376467,573414,542381,502307,38663,7.128383922,23148041024,862524.9528
7,01779781,10,Delaware,370953,345186,321536,93.14862132,22746,6.589490883,942727,561446,542367,96.60181033,513978,94.76572137,28097,5.18044055,145556,9755,6.701887933,203387,192828,175664,16936,8.782956832,3484,3066,2571,364,11.87214612,38130,37448,36362,1086,2.900021363,689,314,314,0,0,581888,554002,532509,20337,3.670925376,89633,84713,76511,8183,9.65967443,8634900080,635532.6637
8,01702382,11,District of Columbia,288307,268218,244916,91.31229075,23063,8.598602629,662982,455226,441120,96.90131934,409146,92.75163221,31698,7.185799782,59592,8116,13.61927776,302389,276650,237848,38360,13.86589554,2275,1985,1804,181,9.118387909,26080,25783,24639,1144,4.437032153,304,304,290,14,4.605263158,241812,239200,234850,4315,1.803929766,74522,71637,63740,7884,11.00548599,292742574.5,86300.92318
9,00294478,12,Florida,7931313,7383447,6723485,91.06160036,642057,8.695897729,20785401,12318456,11938638,96.91667527,11048776,92.54636919,876885,7.344933317,3428875,354213,10.33029784,3253236,3033568,2659396,370681,12.21930743,53912,50196,46332,3800,7.570324329,584269,573604,550993,22022,3.839234036,13077,12579,11724,855,6.79704269,11112322,10653084,10014728,612791,5.752240384,5396700,5161196,4660298,495696,9.604285518,1.96829E+11,5247871.665
