OID,STATENS,GEOID,NAME,Total Households,Total HH that have computer,Total HH with broadband,Percent of Total pop with no access,percent of tatal pop with access
0,01779775,01,Alabama,1888504,1659065,1491634,10.09188911,89.90811089
1,01785533,02,Alaska,255173,242325,221809,8.466315898,91.5336841
2,01779777,04,Arizona,2643430,2467069,2272487,7.887172998,92.112827
3,00068085,05,Arkansas,1170544,1031971,892375,13.52712431,86.47287569
4,01779778,06,California,13103114,12360505,11574531,6.358753142,93.64124686
5,01779779,08,Colorado,2137402,2028365,1905129,6.075632344,93.92436766
6,01779780,09,Connecticut,1385437,1274056,1198191,5.954604821,94.04539518
7,01779781,10,Delaware,370953,345186,321536,6.851378677,93.14862132
8,01702382,11,District of Columbia,288307,268218,244916,8.687709251,91.31229075
9,00294478,12,Florida,7931313,7383447,6723485,8.938399639,91.06160036
10,01705317,13,Georgia,3830264,3522345,3202843,9.070718513,90.92928149
11,01779782,15,Hawaii,467932,433778,404642,6.716799838,93.28320016
12,01779783,16,Idaho,649299,605316,555269,8.267912958,91.73208704
13,01779784,17,Illinois,4884061,4468588,4131194,7.550349238,92.44965076
14,00448508,18,Indiana,2602770,2350951,2144422,8.784912999,91.215087
15,01779785,19,Iowa,1273941,1151928,1049834,8.862880319,91.13711968
16,00481813,20,Kansas,1141985,1047658,956641,8.687663341,91.31233666
17,01779786,21,Kentucky,1748053,1547842,1410645,8.863759996,91.13624
18,01629543,22,Louisiana,1751956,1543376,1367200,11.414976,88.585024
19,01779787,23,Maine,569551,518583,476513,8.112491154,91.88750885
20,01714934,24,Maryland,2230527,2088686,1959856,6.1679927,93.8320073
21,00606926,25,Massachusetts,2646980,2450583,2315060,5.53023505,94.46976495
22,01779789,26,Michigan,3980408,3625797,3324898,8.298837469,91.70116253
23,00662849,27,Minnesota,2207988,2046817,1906917,6.835002836,93.16499716
24,01779790,28,Mississippi,1116649,965947,835084,13.54763771,86.45236229
25,01779791,29,Missouri,2440212,2213727,2009953,9.205019408,90.79498059
26,00767982,30,Montana,436048,394771,359891,8.835502101,91.1644979
27,01779792,31,Nebraska,766663,701638,651056,7.209130634,92.79086937
28,01779793,32,Nevada,1130011,1058007,959333,9.326403322,90.67359668
29,01779794,33,New Hampshire,539116,505000,475406,5.86019802,94.13980198
30,01779795,34,New Jersey,3272054,3040126,2851052,6.219281701,93.7807183
31,00897535,35,New Mexico,792755,698146,611142,12.46214975,87.53785025
32,01779796,36,New York,7417224,6754292,6249957,7.466881799,92.5331182
33,01027616,37,North Carolina,4031592,3657447,3332220,8.892186271,91.10781373
34,01779797,38,North Dakota,320873,292964,263923,9.912822053,90.08717795
35,01085497,39,Ohio,4717226,4276409,3949300,7.649151426,92.35084857
36,01102857,40,Oklahoma,1493569,1352894,1208754,10.65419759,89.34580241
37,01155107,41,Oregon,1642579,1545561,1437660,6.98134852,93.01865148
38,01779798,42,Pennsylvania,5106601,4573026,4248840,7.089091556,92.91090844
39,01219835,44,Rhode Island,414730,375980,355195,5.528219586,94.47178041
40,01779799,45,South Carolina,1961481,1769828,1578651,10.80201014,89.19798986
41,01785534,46,South Dakota,347878,313834,287191,8.489519937,91.51048006
42,01325873,47,Tennessee,2639455,2352354,2129319,9.481353572,90.51864643
43,01779801,48,Texas,9906070,9187393,8358356,9.023637064,90.97636294
44,01455989,49,Utah,1003345,964342,892660,7.433255007,92.56674499
45,01779802,50,Vermont,262852,239892,216046,9.940306471,90.05969353
46,01779803,51,Virginia,3184121,2939714,2719503,7.490898775,92.50910123
47,01779804,53,Washington,2905822,2755772,2603312,5.53238802,94.46761198
48,01779805,54,West Virginia,734235,632566,569886,9.908847456,90.09115254
49,01779806,55,Wisconsin,2377935,2157295,1998288,7.370665579,92.62933442
50,01779807,56,Wyoming,233231,217146,198588,8.546323672,91.45367633
51,01779808,72,Puerto Rico,1205749,875327,740364,15.41858071,84.58141929
