OID,STATENS,GEOID,NAME,Total Households,Total HH that have computer,HH with dial up access,Total HH with broadband,Households have a computer without internet access,HH have not computer,Percent of HH have not computer,Total population in households,Population 18-64,pop 18-64 have a computer,pop18-64 with dialup access,pop18-64 with broadband access,pop 18-64 without internet,pop18-64 that have no computer,B28005__24,B28005_016,B28005__25,pop over 65 with access,pop over 65 without access,Total pop of black,Black pop have a computer,Black pop with access,Black pop without access,American Indian total pop,Native American have a computer,American Indian pop with access,American Indian pop without access,Total Asian pop,Asian pop have a computer,Asian pop with access,Asian pop without internet access,Tot Hawaian pop,Hawaian pop have computer,Native Hawaian pop with access,Native Hawaian without access,Total other race pop,Total white pop,White pop have computer,White pop with broadband access,White pop without access,Total Hispanic pop,All hispanic pop that have computer,Hispanic pop with broadband access,Hispanic pop without broadband access,Shape__Are,Shape__Len
0,01779775,01,Alabama,1888504,1659065,7242,1491634,160189,229439,12.1,4776007,2879121,2710438,8868,2479337,222233,168683,3569,5304,807,555172,68998,1256298,1110911,969003,137511,24164,22088,20571,1371,66519,65000,62538,2345,1986,1863,1641,200,74251,3128816,2917804,2709601,195742,208710,191133,166686,24033,1.90114E+11,2354852.67
1,01785533,02,Alaska,255173,242325,777,221809,19739,12848,5,709895,441947,431403,495,401197,29711,10544,713,869,249,69189,6929,21896,21451,19773,1678,103156,95344,80034,15155,45131,43758,40983,2709,10216,10092,9377,715,11398,425154,415452,391970,22379,50556,49463,46285,3132,8.20849E+12,82199145.89
2,01779777,04,Arizona,2643430,2467069,7444,2272487,187138,176361,6.7,7016130,4135442,3994955,5602,3729754,259599,140487,3313,7304,698,1008817,93728,309355,294944,269363,24835,301563,239201,181466,55444,235472,231607,223973,7264,13625,13224,11548,1657,474604,3805572,3675698,3499798,166065,2213927,2107171,1902851,203020,4.34051E+11,2907135.646
3,00068085,05,Arkansas,1170544,1031971,3200,892375,136396,138573,11.8,2928116,1734891,1635122,2629,1442661,189832,99769,2318,2703,329,330436,54239,436449,378927,328665,50002,18414,16982,14694,2288,45280,44217,40398,3798,10319,7501,5762,1739,87076,2100039,1948967,1729355,214040,225723,211917,173533,38174,2.05403E+11,2683803.15
4,01779778,06,California,13103114,12360505,25816,11574531,760158,742609,5.7,38521288,24081685,23544592,22375,22358042,1164175,537093,6926,24967,1258,4485017,371159,2129228,2022039,1868171,151896,300670,285401,262564,22426,5740307,5624337,5439896,177341,145339,138926,130890,7564,5534462,14040733,13588535,13061703,498110,15132999,14524982,13409156,1100871,6.50014E+11,5467289.403
5,01779779,08,Colorado,2137402,2028365,5972,1905129,117264,109037,5.1,5565331,3517748,3451288,3824,3292290,155174,66460,2190,6140,562,648727,49537,223672,214287,201025,13006,50749,47497,42480,4979,178034,175130,169394,5661,8605,8106,7779,318,231521,3764211,3665420,3518939,137037,1205918,1153066,1062879,89323,4.47311E+11,2708265.228
6,01779780,09,Connecticut,1385437,1274056,3944,1198191,71921,111381,8,3458474,2134426,2075975,3630,1988117,84228,58451,2386,3200,408,461418,34518,363608,341459,317420,23525,8765,8273,7474,799,158757,156653,152482,4060,1189,1126,987,134,185703,2284554,2183057,2104465,72835,573414,542381,502307,38663,23148041024,862524.9528
7,01779781,10,Delaware,370953,345186,904,321536,22746,25767,6.9,942727,561446,542367,292,513978,28097,19079,1192,1167,309,145556,9755,203387,192828,175664,16936,3484,3066,2571,364,38130,37448,36362,1086,689,314,314,0,21597,581888,554002,532509,20337,89633,84713,76511,8183,8634900080,635532.6637
8,01702382,11,District of Columbia,288307,268218,239,244916,23063,20089,7,662982,455226,441120,276,409146,31698,14106,990,206,116,59592,8116,302389,276650,237848,38360,2275,1985,1804,181,26080,25783,24639,1144,304,304,290,14,33228,241812,239200,234850,4315,74522,71637,63740,7884,292742574.5,86300.92318
9,00294478,12,Florida,7931313,7383447,17905,6723485,642057,547866,6.9,20785401,12318456,11938638,12977,11048776,876885,379818,6915,18978,1390,3428875,354213,3253236,3033568,2659396,370681,53912,50196,46332,3800,584269,573604,550993,22022,13077,12579,11724,855,691749,11112322,10653084,10014728,612791,5396700,5161196,4660298,495696,1.96829E+11,5247871.665
